Id,Name,Team,Wk17,Bye,Position,Rank,P Rk,ADP,Rookie,+/-
1109979,Ja'Marr Chase,CIN,ARI,10,WR,1,WR1,1.1,,0.1
1069535,Justin Jefferson,MIN,DET,6,WR,2,WR2,3.1,,1.1
883302,Saquon Barkley,PHI,BUF,9,RB,3,RB1,2.8,,-0.2
1062020,CeeDee Lamb,DAL,WAS,10,WR,4,WR3,5.6,,1.6
1228244,Bijan Robinson,ATL,LAR,5,RB,5,RB2,3.7,,-1.3
1214154,Jahmyr Gibbs,DET,MIN,8,RB,6,RB3,5.4,,-0.6
1162128,Puka Nacua,LAR,ATL,8,WR,7,WR4,7.8,,0.8
1286059,Malik Nabers,NYG,LV,14,WR,8,WR5,10.2,,2.2
830517,Christian McCaffrey,SF,CHI,14,RB,9,RB4,8.2,,-0.8
1379646,Ashton Jeanty,LV,NYG,8,RB,10,RB5,10.5,Rookie,0.5
1127106,Amon-Ra St. Brown,DET,MIN,8,WR,11,WR6,10.8,,-0.2
1074698,Nico Collins,HOU,LAC,6,WR,12,WR7,12.0,,0.0
1286064,Brian Thomas Jr.,JAX,IND,8,WR,13,WR8,13.9,,0.9
1285917,Brock Bowers,LV,NYG,8,TE,14,TE1,16.8,,2.8
1178741,Drake London,ATL,LAR,5,WR,15,WR9,15.7,,0.7
1218643,Ladd McConkey,LAC,HOU,12,WR,16,WR10,17.5,,1.5
1231820,De'Von Achane,MIA,TB,12,RB,17,RB6,17.7,,0.7
732145,Derrick Henry,BAL,GB,7,RB,18,RB7,12.5,,-5.5
944826,A.J. Brown,PHI,BUF,9,WR,19,WR11,19.4,,0.4
1287923,Bucky Irving,TB,MIA,9,RB,20,RB8,22.4,,2.4
1173538,Rashee Rice,KC,DEN,10,WR,21,WR12,22.3,,1.3
1065406,Jonathan Taylor,IND,JAX,11,RB,22,RB9,19.9,,-2.1
944416,Josh Jacobs,GB,BAL,5,RB,23,RB10,24.0,,1.0
1108161,Trey McBride,ARI,CIN,8,TE,24,TE2,24.6,,0.6
978579,Tee Higgins,CIN,ARI,10,WR,25,WR13,25.4,,0.4
1164889,Garrett Wilson,NYJ,NE,9,WR,26,WR14,27.0,,1.0
1123379,Chase Brown,CIN,ARI,10,RB,27,RB11,28.3,,1.3
1287828,Marvin Harrison Jr.,ARI,CIN,8,WR,28,WR15,29.8,,1.8
823156,Tyreek Hill,MIA,TB,12,WR,29,WR16,33.3,,4.3
1214087,Jaxon Smith-Njigba,SEA,CAR,8,WR,30,WR17,32.3,,2.3
1162537,Breece Hall,NYJ,NE,9,RB,31,RB12,35.8,,4.8
836116,Terry McLaurin,WAS,DAL,12,WR,32,WR18,31.8,,-0.2
611417,Davante Adams,LAR,ATL,8,WR,33,WR19,32.8,,-0.2
1167361,Kyren Williams,LAR,ATL,8,RB,34,RB13,32.7,,-1.3
1380576,Tetairoa Mcmillan,CAR,SEA,14,WR,35,WR20,47.1,Rookie,12.1
593587,Mike Evans,TB,MIA,9,WR,36,WR21,37.0,,1.0
868199,Josh Allen,BUF,PHI,7,QB,37,QB1,28.1,,-8.9
877745,Lamar Jackson,BAL,GB,7,QB,38,QB2,29.8,,-8.2
1161228,Jayden Daniels,WAS,DAL,12,QB,39,QB3,38.4,,-0.6
913271,Jalen Hurts,PHI,BUF,9,QB,40,QB4,46.5,,6.5
877790,DJ Moore,CHI,SF,5,WR,41,WR22,41.1,,0.1
1398572,Omarion Hampton,LAC,HOU,12,RB,42,RB14,48.1,Rookie,6.1
733672,George Kittle,SF,CHI,14,TE,43,TE3,40.9,,-2.1
1326638,Xavier Worthy,KC,DEN,10,WR,44,WR23,44.9,,0.9
1060262,DeVonta Smith,PHI,BUF,9,WR,45,WR24,50.4,,5.4
838878,Courtland Sutton,DEN,KC,12,WR,46,WR25,48.8,,2.8
1131012,James Cook,BUF,PHI,7,RB,47,RB15,39.2,,-7.8
1177053,Zay Flowers,BAL,GB,7,WR,48,WR26,53.0,,5.0
1172053,George Pickens,DAL,WAS,10,WR,49,WR27,53.2,,4.2
1399275,Travis Hunter,JAX,IND,8,WR,50,WR28,55.4,Rookie,5.4
945633,DK Metcalf,PIT,CLE,5,WR,51,WR29,42.3,,-8.7
1062047,Chuba Hubbard,CAR,SEA,14,RB,52,RB16,51.3,,-0.7
1175184,Jameson Williams,DET,MIN,8,WR,53,WR30,45.1,,-7.9
884013,Calvin Ridley,TEN,NO,10,WR,54,WR31,59.1,,5.1
1164402,Kenneth Walker III,SEA,CAR,8,RB,55,RB17,55.6,,0.6
878785,Joe Burrow,CIN,ARI,10,QB,56,QB5,46.3,,-9.7
820727,Joe Mixon,HOU,LAC,6,RB,57,RB18,57.2,,0.2
1287837,TreVeyon Henderson,NE,NYJ,14,RB,58,RB19,63.7,Rookie,5.7
1172401,RJ Harvey,DEN,KC,12,RB,59,RB20,64.3,Rookie,5.3
835127,Chris Godwin,TB,MIA,9,WR,60,WR32,65.1,,5.1
1125749,Jaylen Waddle,MIA,TB,12,WR,61,WR33,58.6,,-2.4
750846,Alvin Kamara,NO,TEN,11,RB,62,RB21,51.4,,-10.6
867009,Jauan Jennings,SF,CHI,14,WR,63,WR34,67.4,,4.4
742390,James Conner,ARI,CIN,8,RB,64,RB22,60.2,,-3.8
1213727,Rome Odunze,CHI,SF,5,WR,65,WR35,68.4,,3.4
1122592,Chris Olave,NO,TEN,11,WR,66,WR36,71.8,,5.8
946739,David Montgomery,DET,MIN,8,RB,67,RB23,69.3,,2.3
1214250,Jordan Addison,MIN,DET,6,WR,68,WR37,72.7,,4.7
1383807,Quinshon Judkins,CLE,PIT,9,RB,69,RB24,75.5,Rookie,6.5
1168926,Sam LaPorta,DET,MIN,8,TE,70,TE4,62.8,,-7.2
880151,Jakobi Meyers,LV,NYG,8,WR,71,WR38,73.4,,2.4
1069808,D'Andre Swift,CHI,SF,5,RB,72,RB25,71.8,,-0.2
835749,Deebo Samuel Sr.,WAS,DAL,12,WR,73,WR39,66.1,,-6.9
839031,Patrick Mahomes,KC,DEN,10,QB,74,QB6,70.9,,-3.1
880398,Tony Pollard,TEN,NO,10,RB,75,RB26,85.7,,10.7
973935,Jerry Jeudy,CLE,PIT,9,WR,76,WR40,67.7,,-8.3
694041,Stefon Diggs,NE,NYJ,14,WR,77,WR41,80.7,,3.7
1381902,Kaleb Johnson,PIT,CLE,5,RB,78,RB27,80.1,Rookie,2.1
1130603,Khalil Shakir,BUF,PHI,7,WR,79,WR42,76.5,,-2.5
1379267,Matthew Golden,GB,BAL,5,WR,80,WR43,87.8,Rookie,7.8
741314,Aaron Jones,MIN,DET,6,RB,81,RB28,77.5,,-3.5
1123398,Jayden Reed,GB,BAL,5,WR,82,WR44,88.8,,6.8
1106832,Isiah Pacheco,KC,DEN,10,RB,83,RB29,79.8,,-3.2
1215077,Josh Downs,IND,JAX,11,WR,84,WR45,88.8,,4.8
1161416,Ricky Pearsall,SF,CHI,14,WR,85,WR46,83.3,,-1.7
