name,position,games,fantasy_points
Kyler Murray,QB,17,8.0
Jacoby Brissett,QB,17,53.0
James Conner,RB,17,18.0
Trey Benson,RB,17,43.0
Emari Demercado,RB,17,80.0
Marvin Harrison Jr.,WR,17,19.0
Michael Wilson,WR,17,67.0
Greg Dortch,WR,17,97.0
Zay Jones,WR,17,122.0
Trey McBride,TE,17,2.0
Elijah Higgins,TE,17,52.0
Tip Reiman,TE,17,73.0
Michael Penix Jr.,QB,17,26.0
Kirk Cousins,QB,17,48.0
Bijan Robinson,RB,17,1.0
Tyler Allgeier,RB,17,48.0
Jashaun Corbin,RB,17,101.0
Drake London,WR,17,10.0
Darnell Mooney,WR,16,55.0
Ray-Ray McCloud,WR,17,71.0
KhaDarel Hodge,WR,17,121.0
Jamal Agnew,WR,17,142.0
Charlie Woerner,TE,17,59.0
Feleipe Franks,TE,17,93.0
Lamar Jackson,QB,17,4.0
Cooper Rush,QB,17,52.0
Derrick Henry,RB,17,11.0
Justice Hill,RB,17,46.0
Rasheen Ali,RB,17,107.0
Patrick Ricard,RB,17,108.0
Zay Flowers,WR,17,24.0
Rashod Bateman,WR,17,62.0
Tylan Wallace,WR,17,161.0
Devontez Walker,WR,17,166.0
LaJohntay Wester,WR,17,185.0
Isaiah Likely,TE,17,32.0
Josh Allen,QB,17,2.0
Mitchell Trubisky,QB,17,62.0
James Cook,RB,17,13.0
Ray Davis,RB,17,56.0
Ty Johnson,RB,17,67.0
Khalil Shakir,WR,17,36.0
Keon Coleman,WR,17,48.0
Josh Palmer,WR,17,70.0
Curtis Samuel,WR,17,110.0
Elijah Moore,WR,17,123.0
Dalton Kincaid,TE,17,15.0
Dawson Knox,TE,17,45.0
Jackson Hawes,TE,17,89.0
Bryce Young,QB,17,21.0
Andy Dalton,QB,17,51.0
Chuba Hubbard,RB,17,17.0
Rico Dowdle,RB,17,55.0
Trevor Etienne,RB,17,84.0
Raheem Blackshear,RB,17,117.0
Tetairoa McMillan,WR,17,33.0
Adam Thielen,WR,17,50.0
Xavier Legette,WR,17,57.0
Jalen Coker,WR,17,94.0
Hunter Renfrow,WR,17,141.0
David Moore,WR,17,171.0
Ja'Tavion Sanders,TE,17,33.0
Tommy Tremble,TE,17,43.0
Caleb Williams,QB,17,15.0
Case Keenum,QB,17,59.0
D'Andre Swift,RB,17,19.0
Roschon Johnson,RB,17,52.0
Kyle Monangai,RB,17,72.0
DJ Moore,WR,17,21.0
Rome Odunze,WR,17,32.0
Luther Burden III,WR,17,78.0
Olamide Zaccheaus,WR,17,127.0
Devin Duvernay,WR,17,152.0
Colston Loveland,TE,17,12.0
Cole Kmet,TE,17,47.0
Durham Smythe,TE,17,77.0
Joe Burrow,QB,17,5.0
Jake Browning,QB,17,38.0
Chase Brown,RB,17,10.0
Tahj Brooks,RB,17,87.0
Ja'Marr Chase,WR,17,1.0
Tee Higgins,WR,17,11.0
Andrei Iosivas,WR,17,90.0
Charlie Jones,WR,17,153.0
Isaiah Williams,WR,17,186.0
Mike Gesicki,TE,17,30.0
Noah Fant,TE,17,34.0
Tanner Hudson,TE,17,80.0
Shedeur Sanders 4 139 86 926 4 4 11,QB,16,49.0
Quinshon Judkins,RB,17,30.0
Dylan Sampson,RB,17,63.0
Pierre Strong Jr.,RB,17,90.0
Jerry Jeudy,WR,17,23.0
Cedric Tillman,WR,17,51.0
Diontae Johnson,WR,17,86.0
David Bell,WR,17,172.0
DeAndre Carter,WR,17,179.0
David Njoku,TE,17,7.0
Harold Fannin Jr.,TE,17,46.0
Brenden Bates,TE,17,91.0
Dak Prescott,QB,17,12.0
Joe Milton III,QB,17,43.0
Javonte Williams,RB,17,35.0
Jaydon Blue,RB,17,47.0
Hunter Luepke,RB,17,94.0
CeeDee Lamb,WR,17,3.0
George Pickens,WR,17,29.0
Kavontae Turpin,WR,17,89.0
Jalen Tolbert,WR,17,91.0
Ryan Flournoy,WR,17,160.0
Jake Ferguson,TE,17,14.0
Luke Schoonmaker,TE,17,55.0
Brevyn Spann-Ford,TE,17,67.0
Bo Nix,QB,17,10.0
Jarrett Stidham,QB,17,46.0
RJ Harvey,RB,17,28.0
J.K. Dobbins,RB,17,34.0
Michael Burton,RB,17,96.0
Audric Estime,RB,17,112.0
Courtland Sutton,WR,17,26.0
Marvin Mims,WR,17,60.0
Devaughn Vele,WR,17,100.0
Troy Franklin,WR,17,103.0
Trent Sherfield,WR,17,164.0
Evan Engram,TE,17,9.0
Adam Trautman,TE,17,54.0
Lucas Krull,TE,17,85.0
Jared Goff,QB,17,23.0
Hendon Hooker,QB,17,55.0
Jahmyr Gibbs,RB,17,4.0
David Montgomery,RB,17,22.0
Craig Reynolds,RB,17,106.0
Amon-Ra St. Brown,WR,17,6.0
Jameson Williams,WR,17,31.0
Tim Patrick,WR,17,109.0
Kalif Raymond,WR,17,126.0
Isaac TeSlaa,WR,17,145.0
