name,position,games,fantasy_points,position_rank
Kyler Murray,QB,17,306.0,8
Jacoby Brissett,QB,17,2.0,53
James Conner,RB,17,250.0,18
Trey Benson,RB,17,124.0,43
Emari Demercado,RB,17,27.0,80
Marvin Harrison Jr.,WR,17,240.0,19
Michael Wilson,WR,17,116.0,67
Greg Dortch,WR,17,60.0,97
Zay Jones,WR,17,30.0,122
Trey McBride,TE,17,259.0,2
Elijah Higgins,TE,17,36.0,52
Tip Reiman,TE,17,9.0,73
Michael Penix Jr.,QB,17,250.0,26
Kirk Cousins,QB,17,2.0,48
Bijan Robinson,RB,17,336.0,1
Tyler Allgeier,RB,17,98.0,48
Jashaun Corbin,RB,17,10.0,101
Drake London,WR,17,267.0,10
Darnell Mooney,WR,16,161.0,55
Ray-Ray McCloud,WR,17,111.0,71
KhaDarel Hodge,WR,17,30.0,121
Jamal Agnew,WR,17,12.0,142
Charlie Woerner,TE,17,21.0,59
Feleipe Franks,TE,17,4.0,93
Lamar Jackson,QB,17,362.0,4
Cooper Rush,QB,17,2.0,52
Derrick Henry,RB,17,281.0,11
Justice Hill,RB,17,108.0,46
Rasheen Ali,RB,17,7.0,107
Patrick Ricard,RB,17,7.0,108
Zay Flowers,WR,17,232.0,24
Rashod Bateman,WR,17,133.0,62
Tylan Wallace,WR,17,5.0,161
Devontez Walker,WR,17,4.0,166
Isaiah Likely,TE,17,113.0,32
Josh Allen,QB,17,365.0,2
Mitchell Trubisky,QB,17,2.0,62
James Cook,RB,17,268.0,13
Ray Davis,RB,17,81.0,56
Ty Johnson,RB,17,55.0,67
Khalil Shakir,WR,17,207.0,36
Keon Coleman,WR,17,181.0,48
Josh Palmer,WR,17,111.0,70
Curtis Samuel,WR,17,46.0,110
Elijah Moore,WR,17,30.0,123
Dalton Kincaid,TE,17,147.0,15
Dawson Knox,TE,17,47.0,45
Jackson Hawes,TE,17,4.0,89
Bryce Young,QB,17,265.0,21
Andy Dalton,QB,17,2.0,51
Chuba Hubbard,RB,17,257.0,17
Rico Dowdle,RB,17,84.0,55
Trevor Etienne,RB,17,22.0,84
Raheem Blackshear,RB,17,2.0,117
Tetairoa McMillan,WR,17,214.0,33
Adam Thielen,WR,17,168.0,50
Xavier Legette,WR,17,156.0,57
Jalen Coker,WR,17,64.0,94
Hunter Renfrow,WR,17,13.0,141
David Moore,WR,17,4.0,171
Ja'Tavion Sanders,TE,17,102.0,33
Tommy Tremble,TE,17,51.0,43
Caleb Williams,QB,17,280.0,15
Case Keenum,QB,17,2.0,59
D'Andre Swift,RB,17,227.0,19
Roschon Johnson,RB,17,88.0,52
Kyle Monangai,RB,17,41.0,72
DJ Moore,WR,17,238.0,21
Rome Odunze,WR,17,217.0,32
Luther Burden III,WR,17,103.0,78
Olamide Zaccheaus,WR,17,27.0,127
Devin Duvernay,WR,17,7.0,152
Colston Loveland,TE,17,156.0,12
Cole Kmet,TE,17,44.0,47
Durham Smythe,TE,17,8.0,77
Joe Burrow,QB,17,329.0,5
Jake Browning,QB,17,3.0,38
Chase Brown,RB,17,281.0,10
Tahj Brooks,RB,17,20.0,87
Ja'Marr Chase,WR,17,339.0,1
Tee Higgins,WR,17,265.0,11
Andrei Iosivas,WR,17,71.0,90
Charlie Jones,WR,17,7.0,153
Mike Gesicki,TE,17,115.0,30
Noah Fant,TE,17,85.0,34
Tanner Hudson,TE,17,5.0,80
Shedeur Sanders,QB,16,55.0,37
Quinshon Judkins,RB,17,198.0,30
Dylan Sampson,RB,17,57.0,63
Pierre Strong Jr.,RB,17,18.0,90
Jerry Jeudy,WR,17,233.0,23
Cedric Tillman,WR,17,167.0,51
Diontae Johnson,WR,17,75.0,86
David Bell,WR,17,4.0,172
DeAndre Carter,WR,17,3.0,179
David Njoku,TE,17,177.0,7
Harold Fannin Jr.,TE,17,45.0,46
Brenden Bates,TE,17,4.0,91
Dak Prescott,QB,17,285.0,12
Joe Milton III,QB,17,3.0,43
Javonte Williams,RB,17,163.0,35
Jaydon Blue,RB,17,102.0,47
Hunter Luepke,RB,17,12.0,94
CeeDee Lamb,WR,17,315.0,3
George Pickens,WR,17,220.0,29
Kavontae Turpin,WR,17,72.0,89
Jalen Tolbert,WR,17,70.0,91
Ryan Flournoy,WR,17,5.0,160
Jake Ferguson,TE,17,149.0,14
Luke Schoonmaker,TE,17,29.0,55
Brevyn Spann-Ford,TE,17,10.0,67
Bo Nix,QB,17,301.0,10
Jarrett Stidham,QB,17,2.0,46
RJ Harvey,RB,17,202.0,28
J.K. Dobbins,RB,17,172.0,34
Michael Burton,RB,17,11.0,96
Audric Estime,RB,17,5.0,112
Courtland Sutton,WR,17,228.0,26
Marvin Mims,WR,17,150.0,60
Devaughn Vele,WR,17,57.0,100
Troy Franklin,WR,17,55.0,103
Trent Sherfield,WR,17,4.0,164
Evan Engram,TE,17,169.0,9
Adam Trautman,TE,17,30.0,54
Lucas Krull,TE,17,5.0,85
