Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2025-06-10 14:01:01 UTC,209,f47f5778-3c4d-4320-a4f9-cb57a229024a,Jacory,Croskey-Merritt,WAS,RB,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:59:52 UTC,200,10b27c42-0621-472d-bfa7-3f6c598980be,Juwan,Johnson,NO,TE,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:56:54 UTC,185,b760285b-f146-44b7-91a6-80b79734aa3a,Keaton,Mitchell,BAL,RB,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:55:41 UTC,176,e5efd76e-3450-4e90-b4a4-74a10f8cef0b,Jarquez,Hunter,LAR,RB,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:52:52 UTC,161,44a906d5-b179-45f9-b69f-281595bea71d,Zach,Ertz,WAS,TE,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:51:36 UTC,152,a6b061d0-7d58-45b0-8539-c0dd60cb26f9,Michael,Penix,ATL,QB,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:48:17 UTC,137,96103fd4-acc7-4dba-adcf-ae140cf7d983,David,Njoku,CLE,TE,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:46:57 UTC,128,1fd437b3-ec8a-40ff-af9b-bdeb9e195111,Drake,Maye,NE,QB,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:43:09 UTC,113,d1bb13ec-b37e-420c-b9f5-e76698cb6b2b,Kyle,Williams,NE,WR,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
2025-06-10 13:41:56 UTC,104,8c7f9176-18b8-4f59-bc46-2c14a60bfed8,Rashid,Shaheed,NO,WR,dc91b123-2ec9-417b-9db5-549caf07cf4e,03944741-875f-464d-9e56-1c40b0f499d7,,12,,The German Shepherd,9b9faf75-af87-4c11-acba-40624136e943,5.0,100000.0,22320,,,,,,,,,,
